                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3473,                 3.8166,                 4.1327,                0.00261,                0.52448,                0.00614,                0.00209,                  3.226,                 4.3137,                 4.1045,             0.00065608,             0.00065608,             0.00065608
                      2,                 3.1926,                 3.5432,                 3.6508,                0.02206,                0.00466,                0.01025,                0.00298,                 3.2869,                 3.8683,                  3.998,              0.0013097,              0.0013097,              0.0013097
                      3,                 2.9833,                 3.4471,                 3.3308,                0.06871,                0.09091,                0.01975,                0.00579,                 2.9827,                 3.7906,                 3.6231,                0.00195,                0.00195,                0.00195
                      4,                 2.8979,                 3.4135,                 3.2586,                0.04308,                0.04895,                0.00926,                0.00241,                 3.0704,                 8.0344,                 3.6758,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.8218,                 3.3491,                 3.1885,                0.02212,                0.20513,                0.01405,                0.00426,                 2.7921,                 6.5557,                 3.2456,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.7857,                 3.2589,                  3.127,                0.02895,                0.07925,                0.01935,                 0.0063,                 2.6675,                 4.8194,                 3.0989,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.6659,                 3.2177,                  3.032,                0.10415,                0.22844,                0.05955,                0.01813,                 2.6726,                 3.4764,                 3.1248,               0.001901,               0.001901,               0.001901
                      8,                 2.5917,                 3.0631,                 2.9343,                0.14885,                0.17249,                0.10872,                0.03639,                  2.593,                 3.2569,                 3.0516,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.5284,                 3.0525,                  2.879,                0.16753,                0.13287,                0.07391,                0.02411,                 2.5423,                 3.3739,                 3.0568,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.4703,                 3.0347,                 2.8394,                0.21635,                0.21911,                0.12912,                0.04623,                 2.4973,                 3.1466,                 2.9025,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.4199,                 2.9838,                 2.7925,                0.19891,                0.22611,                0.14085,                0.05536,                 2.4943,                 3.6684,                 2.9098,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.3947,                 2.8882,                 2.7454,                0.27205,                0.24242,                 0.1805,                0.05938,                 2.4101,                 3.4477,                 2.8519,               0.001802,               0.001802,               0.001802
                     13,                 2.3305,                 2.8283,                 2.6756,                0.26018,                0.22145,                0.14328,                0.04516,                 2.4382,                 2.9826,                  2.899,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.3245,                 2.8211,                 2.6633,                0.26036,                0.23543,                0.16492,                0.06454,                 2.3921,                 3.3255,                  2.789,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2847,                  2.783,                 2.5945,                0.33261,                0.27972,                0.22057,                 0.0881,                 2.3612,                 3.0363,                 2.7622,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2649,                 2.7372,                 2.5989,                0.32434,                0.26107,                0.21733,                0.08727,                 2.3862,                 3.2326,                 2.7908,              0.0017228,              0.0017228,              0.0017228
