                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3473,                 3.8166,                 4.1327,                0.00261,                0.52448,                0.00614,                0.00209,                  3.226,                 4.3137,                 4.1045,             0.00065608,             0.00065608,             0.00065608
                      2,                 3.1925,                 3.5449,                 3.6521,                0.00297,                0.55012,                0.00776,                0.00227,                 3.2825,                   3.85,                 4.0438,              0.0012966,              0.0012966,              0.0012966
                      3,                  2.985,                 3.4278,                 3.3456,                0.03542,                0.08261,                0.02145,                0.00636,                 2.8684,                 4.3913,                 3.3626,              0.0019106,              0.0019106,              0.0019106
                      4,                  2.913,                 3.3781,                 3.2747,                0.03219,                0.17483,                0.01881,                 0.0055,                 2.8381,                 6.3024,                 3.4137,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7915,                 3.3208,                 3.1755,                0.03398,                0.12354,                0.01627,                0.00551,                 2.6801,                 4.1139,                 3.1969,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.7765,                 3.2398,                 3.1181,                0.09509,                0.07459,                 0.0326,                0.00923,                 2.7579,                 3.3658,                 3.1828,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.6679,                 3.1759,                 3.0516,                0.15091,                0.10023,                0.08291,                0.03022,                 2.6236,                 4.0814,                 3.0926,               0.001802,               0.001802,               0.001802
                      8,                 2.6251,                   3.06,                 2.9729,                0.10763,                 0.2028,                0.04529,                0.01495,                 2.6195,                 3.4946,                 3.0786,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.4907,                 3.0655,                 2.9043,                0.20445,                0.18648,                0.15561,                0.05888,                 2.5223,                 3.7022,                 3.0038,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.4444,                 3.0061,                 2.8506,                0.20782,                0.22145,                0.12425,                0.04711,                 2.4596,                 3.2352,                 2.9234,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.3891,                  2.975,                 2.7805,                0.23418,                0.21445,                0.14184,                0.04986,                 2.4599,                 3.1536,                 2.9247,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.3559,                 2.8933,                 2.7503,                0.19343,                0.24942,                0.12602,                0.04963,                 2.4031,                 3.1116,                 2.8481,               0.001604,               0.001604,               0.001604
                     13,                 2.3132,                 2.7715,                 2.7025,                0.29113,                0.25874,                0.16392,                0.05627,                 2.4017,                 3.0236,                 2.8406,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.3114,                 2.7898,                 2.6613,                0.26638,                0.21445,                0.15726,                0.06018,                 2.4918,                 3.2385,                 2.8766,              0.0015248,              0.0015248,              0.0015248
